observer,trial,x,y,dur,onset,offset,n
1,163,986,550.5,1352,0,2155209,1
1,163,785.5,638,164,1390,2155411,2
1,164,984.1,549.9,1216,0,2161049,1
1,164,762.5,457.4,182,1256,2161271,2
1,164,773.1,440,428,1446,2161707,3
1,165,992.8,550,1354,0,2166679,1
1,165,805.5,455.7,140,1394,2166859,2
1,165,784.8,439.4,302,1544,2167171,3
1,166,989.4,550.3,1174,0,2172037,1
1,166,1167.3,479.9,222,1210,2172295,2
1,166,1199.4,460.6,556,1446,2172865,3
1,167,987.5,533.7,1456,0,2177303,1
1,167,772.4,637.5,164,1504,2177515,2
1,167,774.1,659.7,532,1680,2178059,3
1,168,997.8,543.2,1366,0,2183333,1
1,168,789.9,635.9,134,1396,2183497,2
1,168,777.6,669.4,330,1544,2183841,3
1,169,986.9,536.8,1388,0,2188939,1
1,169,774.5,441,498,1420,2189469,2
1,170,989.3,546.6,1336,0,2194443,1
1,170,984.4,318.1,670,1372,2195149,2
1,171,989.6,550.1,1244,0,2199757,1
1,171,1176.4,634.8,256,1278,2200047,2
1,171,1220.4,669.4,292,1552,2200357,3
1,172,982,556.1,1314,0,2205111,1
1,172,1187.1,656.3,262,1350,2205409,2
1,172,1218.8,669.3,358,1622,2205777,3
1,173,992.2,545.4,1342,0,2211473,1
1,173,986.1,327,230,1382,2211743,2
1,173,990,314.1,366,1620,2212117,3
1,174,986.3,557.3,1226,0,2217299,1
1,174,768.4,649.7,246,1264,2217583,2
1,174,757,669,570,1518,2218161,3
1,175,979.2,557.4,270,0,2221939,1
1,175,986.4,557.7,876,458,2223003,2
1,175,1182.4,466,494,1374,2223537,3
1,176,986.2,551.7,1314,0,2227893,1
1,176,782.1,639.8,182,1350,2228111,2
1,177,981.9,561.7,320,0,2233219,1
1,177,987.2,551.3,718,512,2234129,2
1,177,1169.6,476.6,170,1266,2234335,3
1,177,1198.4,453.2,354,1450,2234703,4
1,178,992.8,544.1,1232,0,2239963,1
1,178,765.6,531.4,166,1270,2240167,2
1,178,986.8,775.3,266,1490,2240487,3
1,178,1004.4,789.9,244,1764,2240739,4
1,179,986.2,548.1,1414,0,2245397,1
1,179,799.1,439.5,424,1456,2245863,2
1,180,986,539.8,1176,0,2250117,1
