observer,trial,targLoc,distLoc,targDiscrim,thoughtNoAttCap,distracter,distLocRel
2,56,6,2,1,TRUE,1,3
2,57,5,0,1,TRUE,0,0
2,58,5,3,1,TRUE,1,5
2,59,1,0,1,TRUE,0,0
2,60,4,0,1,TRUE,0,0
2,61,1,4,1,TRUE,1,3
2,62,1,2,1,TRUE,1,2
2,63,5,0,1,TRUE,0,0
2,64,5,0,1,TRUE,0,0
2,65,5,6,1,TRUE,1,2
2,66,6,0,1,TRUE,0,0
2,67,2,2,1,TRUE,1,1
2,68,6,0,1,TRUE,0,0
2,69,5,3,1,TRUE,1,5
2,70,1,3,1,TRUE,1,3
2,71,2,1,1,TRUE,1,0
2,72,6,6,1,TRUE,1,1
2,73,1,0,1,TRUE,0,0
2,74,4,0,1,TRUE,0,0
2,75,4,2,1,TRUE,1,5
2,76,4,0,1,TRUE,0,0
2,77,6,4,1,TRUE,1,3
2,78,3,0,1,TRUE,0,0
2,79,2,0,1,TRUE,0,0
2,80,6,1,1,TRUE,1,2
2,81,1,3,1,TRUE,1,3
2,82,5,0,1,TRUE,0,0
2,83,1,0,1,TRUE,0,0
2,84,1,0,1,TRUE,0,0
2,85,3,6,NA,FALSE,1,4
2,86,1,6,1,TRUE,1,0
2,87,5,0,1,TRUE,0,0
2,88,2,0,1,TRUE,0,0
2,89,5,1,1,TRUE,1,3
2,90,4,0,1,TRUE,0,0
2,91,2,0,1,TRUE,0,0
2,92,2,6,NA,FALSE,1,5
2,93,6,0,1,TRUE,0,0
2,94,4,0,1,TRUE,0,0
2,95,1,0,1,TRUE,0,0
2,96,3,0,1,TRUE,0,0
2,97,4,4,1,TRUE,1,3
2,98,2,5,NA,FALSE,1,2
2,99,2,0,1,TRUE,0,0
2,100,1,0,1,TRUE,0,0
2,101,1,0,1,TRUE,0,0
2,102,4,5,1,TRUE,1,2
2,103,6,4,1,TRUE,1,3
2,104,4,1,NA,FALSE,1,4
2,105,3,0,1,TRUE,0,0
2,106,2,5,NA,FALSE,1,2
2,107,3,1,1,TRUE,1,5
2,108,3,1,1,TRUE,1,5
2,109,6,0,1,TRUE,0,0
2,110,4,0,1,TRUE,0,0
2,111,3,4,1,TRUE,1,3
2,112,4,6,1,TRUE,1,3
2,113,2,0,1,TRUE,0,0
2,114,2,0,1,TRUE,0,0
2,115,4,0,1,TRUE,0,0
2,116,5,3,1,TRUE,1,5
2,117,3,5,1,TRUE,1,2
2,118,6,5,1,TRUE,1,2
2,119,3,5,1,TRUE,1,2
2,120,2,3,1,TRUE,1,2
2,121,5,4,1,TRUE,1,3
2,122,3,0,1,TRUE,0,0
2,123,2,0,1,TRUE,0,0
2,124,6,0,1,TRUE,0,0
2,125,3,0,1,TRUE,0,0
2,126,1,6,1,TRUE,1,0
2,127,5,0,1,TRUE,0,0
2,128,4,0,1,TRUE,0,0
2,129,3,4,1,TRUE,1,3
2,130,5,0,1,TRUE,0,0
2,131,5,0,1,TRUE,0,0
2,132,6,0,1,TRUE,0,0
2,133,1,0,1,TRUE,0,0
2,134,2,0,1,TRUE,0,0
2,135,6,0,1,TRUE,0,0
2,136,4,3,NA,FALSE,1,0
2,137,5,0,1,TRUE,0,0
2,138,4,0,1,TRUE,0,0
2,139,1,3,1,TRUE,1,3
2,140,1,4,1,TRUE,1,3
2,141,4,5,NA,FALSE,1,2
2,142,4,0,0,TRUE,0,0
2,143,3,0,1,TRUE,0,0
2,144,6,0,1,TRUE,0,0
2,145,4,1,NA,FALSE,1,4
2,146,2,3,1,TRUE,1,2
2,147,1,2,1,TRUE,1,2
2,148,2,1,1,TRUE,1,0
2,149,1,5,1,TRUE,1,2
2,150,4,3,NA,FALSE,1,0
2,151,5,2,NA,FALSE,1,4
2,152,3,3,NA,FALSE,1,1
2,153,6,3,1,TRUE,1,4
2,154,3,0,1,TRUE,0,0
2,155,1,0,1,TRUE,0,0
2,156,2,4,1,TRUE,1,3
2,157,3,0,1,TRUE,0,0
2,158,5,0,1,TRUE,0,0
2,159,1,5,1,TRUE,1,2
2,160,2,0,1,TRUE,0,0
2,161,6,0,1,TRUE,0,0
2,162,5,0,1,TRUE,0,0
2,163,4,0,1,TRUE,0,0
2,164,5,2,1,TRUE,1,4
