"","observer","trial","x","y","dur","onset","offset","n","aoi","aoi2"
"364","1",130,248.4,-106.5,162,1013,1848281,3,"1","target"
"365","1",130,251.1,-120.3,565,1191,1848862,4,"1","target"
"366","1",131,20.7,9.79999999999995,184,-184,1852630,1,"c","centre"
"367","1",131,10.2,25.6,1010,9,1853649,2,"c","centre"
"368","1",131,-88.6,237.8,82,1059,1853771,3,"d3","distracter"
"369","1",131,219.3,-72.2,105,1198,1853933,4,"1","target"
"370","1",131,252.1,-104.6,461,1328,1854419,5,"1","target"
"371","1",132,17.8,19.7,1226,-1014,1859089,1,"c","centre"
"372","1",132,244.3,-4.29999999999995,440,254,1859571,2,"d1","distracter"
"373","1",132,30.9,-230.5,238,749,1859864,3,"6","target"
"374","1",133,20.3,13.6,1216,-1014,1866630,1,"c","centre"
"375","1",133,-114.9,-111.3,91,237,1866756,2,"0","blank"
"376","1",133,-203.1,-106.3,592,352,1867372,3,"5","target"
"377","1",134,0.399999999999977,16.5,1203,-1012,1871869,1,"c","centre"
"378","1",134,50.8,-204.3,93,228,1871999,2,"6","target"
"379","1",134,-7.39999999999998,-258.4,612,346,1872636,3,"6","target"
"380","1",135,14.3,16.1,1215,-1014,1877030,1,"c","centre"
"381","1",135,123.7,226.9,100,238,1877167,2,"d2","distracter"
"382","1",135,235.5,138,591,372,1877792,3,"2","target"
"383","1",136,19.7,16.6,1204,-1007,1882010,1,"c","centre"
"384","1",136,216.7,-99.6,110,240,1882163,2,"1","target"
"385","1",136,238.1,-117.7,567,364,1882744,3,"1","target"
"386","1",137,19.2,16.7,1222,-1014,1886888,1,"c","centre"
"387","1",137,238.2,-86,150,247,1887077,2,"1","target"
"388","1",137,250.3,-109.3,566,406,1887652,3,"1","target"
"389","1",137,103.7,-183.1,13,1009,1887702,4,"d6","distracter"
"390","1",138,20.6,22.5,1204,-1013,1892705,1,"c","centre"
"391","1",138,128.4,-229.2,97,242,1892853,2,"d6","distracter"
"392","1",138,-189,144,326,386,1893226,3,"4","target"
"393","1",138,-205.4,145.5,256,720,1893490,4,"4","target"
"394","1",139,21.3,20.3,1192,-1014,1898376,1,"c","centre"
"395","1",139,249.4,-61.5,84,217,1898499,2,"d1","distracter"
"396","1",139,239.7,-107.4,632,316,1899146,3,"1","target"
"397","1",140,3.5,12.9,84,-84,1902569,1,"c","centre"
"398","1",140,13.2,24,1116,10,1903695,2,"c","centre"
"399","1",140,274.5,31.2,107,1165,1903841,3,"d1","distracter"
