observer,trial,x,y,dur,onset,offset,n
1,103,963.2,554.6,1214,-1014,1620003,1
1,103,756.3,668.6,705,248,1620756,2
1,104,968.2,544,1203,-1014,1624993,1
1,104,728.9,548.7,126,227,1625157,2
1,104,1183.4,434.2,622,410,1625836,3
1,105,952.2,563.6,223,-223,1629897,1
1,105,962.9,546.1,978,10,1630885,2
1,105,1213.7,561.6,95,1027,1631019,3
1,105,747.5,425.8,545,1176,1631618,4
1,106,969.8,551.9,1221,-1017,1635825,1
1,106,867.4,347.3,760,239,1636620,2
1,107,967.3,548.4,1214,-1013,1641073,1
1,107,925,749.4,67,251,1641190,2
1,107,971.6,788.3,642,352,1641866,3
1,108,967.7,553.2,1203,-1013,1648063,1
1,108,1079.2,761.8,94,232,1648199,2
1,108,737,674.9,639,386,1648898,3
1,109,969.9,518.2,55,-55,1729423,1
1,109,967.4,518.7,1131,15,1730569,2
1,109,838.4,313.6,757,1199,1731379,3
1,110,977.3,540.1,232,-232,1735437,1
1,110,970,536.9,977,9,1736423,2
1,110,763.6,635,112,1024,1736573,3
1,110,735.4,662.2,610,1151,1737198,4
1,111,978.2,531.1,1221,-1012,1745144,1
1,111,745.7,665.8,698,247,1745880,2
1,112,964.3,540.4,1214,-1014,1750583,1
1,112,751,668.9,759,242,1751384,2
1,113,971.5,543.9,53,-53,1754924,1
1,113,971.5,523.9,1170,20,1756114,2
1,113,864.8,768,87,1227,1756238,3
1,113,996.6,288.8,140,1367,1756431,4
1,113,974.4,279.2,421,1519,1756864,5
1,115,976.5,531.7,1194,-1014,1766248,1
1,115,1192.6,416.3,749,219,1767036,2
1,116,963.2,530.2,1218,-1020,1771467,1
1,116,697.6,532.8,62,240,1771571,2
1,116,972.5,774.4,149,341,1771759,3
1,116,961.2,814,460,509,1772238,4
1,117,969.5,528.1,1209,-1013,1776715,1
1,117,1193.2,405.4,714,237,1777470,2
1,118,966.9,537.1,1195,-1014,1782034,1
1,118,1177.7,385.7,159,220,1782232,2
1,118,1189.5,401.6,589,386,1782828,3
1,119,972.7,539,57,-57,1786097,1
1,119,973.3,524.1,1127,18,1787242,2
1,119,1190.9,413.1,724,1187,1788008,3
1,120,980.4,535.1,1190,-1012,1792249,1
1,120,970,280.4,748,216,1793035,2
1,121,978.5,540.5,62,-62,1796341,1
1,121,976.8,531.6,1119,10,1797470,2
1,121,1055.3,338.9,616,1169,1798126,3
1,122,976.7,529.2,1206,-1014,1803981,1
1,122,1214.2,658.1,714,233,1804736,2
1,123,965.5,532.3,1195,-1020,1808847,1
1,123,966.8,802.7,709,227,1809608,2
1,124,974,529.6,1228,-1021,1813730,1
1,124,1195.8,415.8,168,243,1813934,2
1,124,1182.6,404.1,561,422,1814506,3
1,125,977.8,530.4,1187,-1013,1818798,1
1,125,748.3,402.2,751,213,1819588,2
1,126,996.1,531,593,-593,1823820,1
1,126,988.4,518.2,571,9,1824400,2
1,126,1199.3,407.8,771,623,1825214,3
1,127,974,536.4,1202,-1014,1829445,1
1,127,1125.1,736.4,112,225,1829594,2
1,127,1188.3,656.8,583,362,1830202,3
1,128,984.8,540.8,1215,-1014,1834926,1
1,128,842.3,778.2,252,246,1835223,2
1,128,894.8,760.7,156,516,1835397,3
1,128,959.7,257.8,251,729,1835705,4
1,129,984.3,535.1,1208,-1014,1840286,1
1,129,1080.4,758.4,755,235,1841082,2
1,130,972.2,528.3,236,-236,1847106,1
1,130,979.7,516.5,960,13,1848079,2
1,130,1208.4,646.5,162,1013,1848281,3
1,130,1211.1,660.3,565,1191,1848862,4
1,131,980.7,530.2,184,-184,1852630,1
1,131,970.2,514.4,1010,9,1853649,2
1,131,871.4,302.2,82,1059,1853771,3
1,131,1179.3,612.2,105,1198,1853933,4
1,131,1212.1,644.6,461,1328,1854419,5
1,132,977.8,520.3,1226,-1014,1859089,1
1,132,1204.3,544.3,440,254,1859571,2
1,132,990.9,770.5,238,749,1859864,3
1,133,980.3,526.4,1216,-1014,1866630,1
1,133,845.1,651.3,91,237,1866756,2
1,133,756.9,646.3,592,352,1867372,3
1,134,960.4,523.5,1203,-1012,1871869,1
1,134,1010.8,744.3,93,228,1871999,2
