observer,trial,x,y,dur,n
98,166,948.6,546.4,1230,1
98,166,1183.6,452.7,460,2
98,167,951.4,544.6,1250,1
98,168,951.6,552.4,1236,1
98,168,1172.2,442.8,300,2
98,169,948.8,544,1330,1
98,169,1117.6,500.1,196,2
98,170,951.3,549.1,1228,1
98,170,1177.5,439.6,556,2
98,171,943.6,551,1388,1
98,171,966.8,336.6,350,2
98,171,949.8,303.3,168,3
98,172,950.8,548.2,1194,1
98,172,961,796.9,330,2
98,173,944.2,546.7,1242,1
98,173,1129,565.6,66,2
98,173,707,663.3,234,3
98,173,713.6,678.7,346,4
98,174,945,549.9,1230,1
98,174,825.3,769.5,68,2
98,174,1185.1,468.3,134,3
98,174,1181.9,419.3,516,4
98,175,948.7,548.9,1206,1
98,175,971.2,799,704,2
98,176,955.3,544.5,1240,1
98,176,1056.8,777.7,180,2
98,176,1169.2,413.7,736,3
98,177,959.4,547.5,1208,1
98,177,1182.7,665.3,454,2
98,178,953.3,546.5,1258,1
98,178,801.2,689.1,384,2
98,178,738.2,686.2,790,3
98,179,950,546.7,1248,1
98,179,1189.3,690.1,298,2
98,180,950.4,550.8,1212,1
98,180,732.3,426.2,422,2
98,181,953,540.6,260,1
98,181,953.3,549.1,916,2
98,181,1079.3,784.8,100,3
98,181,960.2,814.6,562,4
98,182,951.8,549,1210,1
98,182,732.2,442.7,434,2
98,183,951.8,543.7,1210,1
98,183,962.8,765.1,94,2
98,183,946.7,810,708,3
98,184,958.5,548.4,44,1
98,184,956.9,546.5,450,2
98,184,949.2,546.5,500,3
98,184,731.6,652.9,310,4
98,185,950.6,549.5,1212,1
98,185,1183.6,425.6,370,2
98,186,949.7,542.2,1186,1
98,186,1215.1,550.8,110,2
98,186,1182.1,647.8,522,3
98,187,945.8,551,1182,1
98,187,1172.6,583.1,78,2
98,187,1157.3,696,220,3
98,187,1183.2,705.2,470,4
98,188,948.5,546.3,1226,1
98,188,1203.6,674.2,586,2
98,189,948.4,549.1,1210,1
98,189,1142.3,707.8,116,2
98,189,1171.6,697.9,638,3
98,190,952.1,545.9,368,1
98,190,945.1,547.8,824,2
98,190,1233.5,552.1,126,3
98,191,951,546.4,1248,1
98,191,769.8,433.2,164,2
98,191,732.1,426.6,654,3
98,191,1057.4,708.2,170,4
98,192,953.6,536.2,1200,1
98,192,967.8,811,382,2
98,192,1028,553.5,198,3
