observer,trial,x,y,dur,onset,n
1,156,1001.5,324.1,166,1232,4
1,157,982.7,535.7,506,0,1
1,157,984.6,500.3,822,838,2
1,157,984.1,334.8,166,1044,3
1,158,993.8,523.7,1510,0,1
1,158,798.2,603.3,154,192,2
1,159,993.1,525.4,1248,0,1
1,159,1075.9,413.7,138,174,2
1,159,1000.8,316,320,518,3
1,160,989.7,537.2,1240,0,1
1,160,877.6,420.8,216,254,2
1,161,988.9,552.7,1250,0,1
1,161,1169,485.5,162,198,2
1,162,991.6,557.6,946,0,1
1,162,985.1,548.9,226,402,2
1,162,1148.2,564.7,148,578,3
1,162,980.4,789.2,262,890,4
1,163,986,550.5,1352,0,1
1,164,984.1,549.9,1216,0,1
1,164,762.5,457.4,182,222,2
1,165,992.8,550,1354,0,1
1,165,805.5,455.7,140,180,2
1,166,989.4,550.3,1174,0,1
1,166,1167.3,479.9,222,258,2
1,167,987.5,533.7,1456,0,1
1,167,772.4,637.5,164,212,2
1,168,997.8,543.2,1366,0,1
1,168,789.9,635.9,134,164,2
1,169,986.9,536.8,1388,0,1
1,170,989.3,546.6,1336,0,1
1,171,989.6,550.1,1244,0,1
1,171,1176.4,634.8,256,290,2
1,172,982,556.1,1314,0,1
1,172,1187.1,656.3,262,298,2
1,173,992.2,545.4,1342,0,1
1,173,986.1,327,230,270,2
1,174,986.3,557.3,1226,0,1
1,174,768.4,649.7,246,284,2
1,175,979.2,557.4,270,0,1
1,175,986.4,557.7,876,1064,2
1,176,986.2,551.7,1314,0,1
1,177,981.9,561.7,320,0,1
1,177,987.2,551.3,718,910,2
1,177,1169.6,476.6,170,1116,3
1,178,992.8,544.1,1232,0,1
1,178,765.6,531.4,166,204,2
1,178,986.8,775.3,266,524,3
1,179,986.2,548.1,1414,0,1
1,180,986,539.8,1176,0,1
1,180,992.5,378,150,190,2
1,181,982.4,543,1184,0,1
1,181,1044.6,396.5,114,154,2
1,182,982.6,538.1,1270,0,1
1,182,984.8,398.2,138,178,2
1,183,986.8,539.2,642,0,1
1,183,984.3,516.5,122,130,2
1,183,977.1,422.8,624,774,3
1,183,784.3,649.5,264,1082,4
1,184,997.5,552.8,1348,0,1
1,184,782.7,464.5,148,188,2
1,185,989.7,535.4,1134,0,1
1,185,802.9,606.7,168,206,2
1,186,990.3,542.5,1306,0,1
1,186,823.9,592.5,138,180,2
1,187,988.4,556.9,158,0,1
1,187,988.8,549,932,1186,2
1,187,781.5,628.2,158,1386,3
1,188,990.1,555.2,1346,0,1
1,189,991.6,528.4,276,0,1
1,189,1014.4,488.3,26,202,2
1,189,985.6,535.9,766,980,3
1,189,1190.1,624.2,264,1280,4
1,190,986.6,548.5,240,0,1
1,190,981.8,549.3,1114,1316,2
1,191,981,543,1306,0,1
1,191,758.7,643.3,192,230,2
1,192,985.8,552.8,1236,0,1
