"observer","trial","x","y","dur","onset","n","aoi","aoi2"
"5",11,98.4000000000001,157.6,166,1090,4,"d2","distracter"
"5",11,103.8,193.4,124,1226,5,"d2","distracter"
"5",11,-202.8,-84.1,422,1700,6,"5","target"
"5",12,17.7,-2,314,0,1,"c","centre"
"5",12,17.2,6.89999999999998,246,394,2,"c","centre"
"5",12,50.9,30.4,184,596,3,"c","centre"
"5",12,15.1,16.7,328,938,4,"c","centre"
"5",12,-177.1,6,126,1098,5,"d4","distracter"
"5",12,218.7,-127.5,480,1626,6,"1","target"
"5",13,4,1,276,0,1,"c","centre"
"5",13,18.9,-15.1,342,350,2,"c","centre"
"5",13,120,37.3,168,542,3,"0","blank"
"5",13,39.1,24.2,354,914,4,"c","centre"
"5",13,188.8,98.7,424,1364,5,"2","target"
"5",13,-173.8,-58,200,1612,6,"5","blank"
"5",14,20.2,15.5,298,0,1,"c","centre"
"5",14,26.3,7.60000000000002,912,922,2,"c","centre"
"5",14,-195.5,11.2,150,1106,3,"d4","distracter"
"5",14,5.70000000000005,-218.1,216,1370,4,"6","target"
"5",14,10.5,-247.2,490,1870,5,"6","target"
"5",15,9.70000000000005,-2,308,0,1,"c","centre"
"5",15,25.5,12.5,246,368,2,"c","centre"
"5",15,46.9,9.60000000000002,206,582,3,"c","centre"
"5",15,20,6.20000000000005,332,922,4,"c","centre"
"5",15,-1.20000000000005,179.7,188,1138,5,"3","target"
"5",15,-10.6,208.5,292,1442,6,"3","target"
"5",16,33.1,3.89999999999998,28,0,1,"c","centre"
"5",16,34.8,16,566,626,2,"c","centre"
"5",16,11.7,151.9,260,914,3,"0","blank"
"5",16,9.39999999999998,114.8,260,1188,4,"0","blank"
"5",16,-3.60000000000002,222.9,520,1734,5,"3","target"
"5",16,-140.2,-84.4,220,2000,6,"5","blank"
"5",17,25.3,1.20000000000005,498,0,1,"c","centre"
"5",17,15.3,106.8,152,182,2,"0","blank"
"5",17,12,38.6,490,692,3,"c","centre"
"5",17,-80.7,182.9,168,884,4,"d3","distracter"
"5",17,-111.2,195.4,106,1002,5,"d3","distracter"
"5",17,-0.5,-195.8,142,1196,6,"6","target"
"5",17,7.89999999999998,-248.1,500,1710,7,"6","target"
"5",17,-80.4,83,120,1934,8,"0","blank"
"5",18,14.8,15.9,210,0,1,"c","centre"
"5",18,15.6,15.1,514,626,2,"c","centre"
"5",18,39.5,1.5,226,866,3,"c","centre"
"5",18,9.89999999999998,-2.79999999999995,174,1052,4,"c","centre"
