"observer","captured","thought","congC","medianRT","nTrials"
22,"tooLong","direct","congruent",1.125,15
24,"direct","captured","incongruent",0.8557765,8
24,"direct","captured","congruent",0.918999,12
24,"direct","direct","incongruent",1.074138,9
24,"direct","direct","congruent",1.1701485,12
24,"fixatedDistracter","captured","incongruent",1.122638,80
24,"fixatedDistracter","captured","congruent",1.0697875,82
24,"fixatedDistracter","direct","incongruent",1.0639185,8
24,"fixatedDistracter","direct","congruent",0.8544905,12
24,"none","captured","incongruent",1.0795605,8
24,"none","captured","congruent",0.741504,4
24,"none","direct","incongruent",0.885621,11
24,"none","direct","congruent",1.302779,6
24,"tooLong","captured","incongruent",1.133843,9
24,"tooLong","captured","congruent",1.2116665,8
24,"tooLong","direct","incongruent",0.987335,3
24,"tooLong","direct","congruent",1.352045,3
25,"direct","captured","incongruent",1.502745,5
25,"direct","captured","congruent",2.4206375,6
25,"direct","direct","incongruent",1.404044,41
25,"direct","direct","congruent",1.18901,42
25,"fixatedDistracter","captured","incongruent",1.565328,24
25,"fixatedDistracter","captured","congruent",1.37713,25
25,"fixatedDistracter","direct","incongruent",1.05736,16
25,"fixatedDistracter","direct","congruent",1.059311,23
25,"none","captured","incongruent",1.554646,3
25,"none","captured","congruent",1.222,5
25,"none","direct","incongruent",1.335972,35
25,"none","direct","congruent",1.300991,25
25,"tooLong","captured","incongruent",1.135422,2
25,"tooLong","captured","congruent",2.020716,1
25,"tooLong","direct","incongruent",1.151959,14
25,"tooLong","direct","congruent",1.216089,13
