"observer","trial","x","y","dur","onset","n","aoi","aoi2"
"9",349,-10.6,-34.7,84,0,1,"c","centre"
"9",349,-4.5,-31,1108,1116,2,"c","centre"
"9",350,-12.7,-23.5,1202,0,1,"c","centre"
"9",350,227.6,-135.3,342,386,2,"1","target"
"9",351,-13.8,-27.1,1228,0,1,"c","centre"
"9",351,-6.10000000000002,175.3,116,152,2,"3","target"
"9",352,-9.70000000000005,-26.8,1178,0,1,"c","centre"
"9",352,-218.3,63.6,128,170,2,"4","target"
"9",353,-9.5,-27.8,1194,0,1,"c","centre"
"9",354,-8.89999999999998,-21.6,1228,0,1,"c","centre"
"9",354,172.9,63.9,98,138,2,"2","target"
"9",355,-3.29999999999995,-34.6,1210,0,1,"c","centre"
"9",356,-7.79999999999995,-34.6,1224,0,1,"c","centre"
"9",357,-6.79999999999995,-32.5,1196,0,1,"c","centre"
"9",357,195.8,86.2,170,210,2,"2","target"
"9",358,-10.8,-21.4,1316,0,1,"c","centre"
"9",358,-213.1,-153.2,156,198,2,"5","target"
"9",359,-4.10000000000002,-36.7,1224,0,1,"c","centre"
"9",359,75.9000000000001,133.4,78,114,2,"0","blank"
"9",359,3.29999999999995,215.4,160,298,3,"3","target"
"9",360,-8.29999999999995,-31.9,1216,0,1,"c","centre"
"9",360,157.6,70.2,96,130,2,"2","target"
"9",361,-6.60000000000002,-35.3,1246,0,1,"c","centre"
"9",361,-154,-267,424,478,2,"d5","distracter"
"9",361,206.5,52.5,120,648,3,"d1","blank"
"9",362,-8.89999999999998,-26,1214,0,1,"c","centre"
"9",362,182.4,85.9,136,176,2,"2","target"
"9",363,-7.89999999999998,-21.1,372,0,1,"c","centre"
"9",363,-9.70000000000005,-25.3,896,902,2,"c","centre"
"9",363,-193.1,69.3,104,1046,3,"4","target"
"9",364,-6.79999999999995,-30.5,1176,0,1,"c","centre"
"9",364,-216.4,70.3,200,240,2,"4","target"
"9",365,-6,0,1174,0,1,"c","centre"
"9",366,-8.10000000000002,-7.70000000000005,1208,0,1,"c","centre"
"9",367,0,-16.8,1188,0,1,"c","centre"
"9",368,-5.5,-22.8,1206,0,1,"c","centre"
"9",368,250.6,-37.7,124,176,2,"d1","distracter"
"9",368,19.5,-290.6,142,374,3,"6","target"
"9",369,-5.29999999999995,-23.1,1180,0,1,"c","centre"
"9",370,-5,-13.2,1192,0,1,"c","centre"
"9",370,-89.2,-217.3,70,118,2,"d5","distracter"
"9",371,-9.5,-19.8,306,0,1,"c","centre"
"9",371,5.10000000000002,-15.9,86,96,2,"c","centre"
"9",371,-9.70000000000005,-21,770,884,3,"c","centre"
"9",371,124.7,195.8,106,1034,4,"d2","distracter"
"9",371,210.2,-189.6,102,1184,5,"1","target"
"9",372,-5.89999999999998,-30.3,1216,0,1,"c","centre"
"9",373,-7.29999999999995,-21.5,1170,0,1,"c","centre"
"9",373,-64.6,192.2,126,178,2,"d3","distracter"
"9",373,-15.5,227.6,610,808,3,"3","target"
"9",374,-7.5,-21.7,1192,0,1,"c","centre"
"9",375,-7.60000000000002,-22.3,1222,0,1,"c","centre"
"9",375,0.399999999999977,-304.6,110,152,2,"6","target"
"9",376,-6.39999999999998,-27.3,1236,0,1,"c","centre"
"9",377,-6.10000000000002,-27.9,1220,0,1,"c","centre"
"9",377,-209.9,62.9,106,150,2,"4","target"
"9",378,-2.70000000000005,-28.3,416,0,1,"c","centre"
"9",378,-12.7,-31.2,804,810,2,"c","centre"
"9",378,-204.8,-149.3,132,982,3,"5","target"
"9",379,-4.20000000000005,-32.8,1216,0,1,"c","centre"
"9",379,188.2,41.7,72,108,2,"d1","blank"
"9",380,-6.39999999999998,-19.2,1240,0,1,"c","centre"
"9",380,-159.9,53.1,88,128,2,"4","target"
"9",381,-11.9,-29.3,1344,0,1,"c","centre"
"9",381,-4.10000000000002,156.1,192,232,2,"3","target"
"9",382,-9,-23,1240,0,1,"c","centre"
"9",382,-102,-221.7,168,206,2,"d5","distracter"
"9",382,-165,-190.9,178,406,3,"d5","distracter"
"9",383,-1.60000000000002,-21.2,1210,0,1,"c","centre"
"9",383,181.9,61.5,74,112,2,"2","target"
"9",384,-9,-29.6,1206,0,1,"c","centre"
"9",384,-191.6,-122,122,160,2,"5","target"
"9",385,-3.10000000000002,-29.2,1272,0,1,"c","centre"
"9",386,-3.39999999999998,-28.3,1228,0,1,"c","centre"
"9",387,-6.20000000000005,-27.4,1220,0,1,"c","centre"
"9",387,9,181.9,78,120,2,"3","target"
"9",388,-5,-20.2,1188,0,1,"c","centre"
"9",388,-117.6,-240.4,124,164,2,"d5","distracter"
"9",388,-203.4,-175.1,80,264,3,"5","target"
"9",389,-3.79999999999995,-29.1,1208,0,1,"c","centre"
"9",390,-6,-31,1222,0,1,"c","centre"
"9",391,-2.79999999999995,-24.7,1234,0,1,"c","centre"
"9",391,-69.5,-223.5,96,136,2,"d5","distracter"
"9",392,-5,-36.1,1222,0,1,"c","centre"
"9",393,-7.29999999999995,-26.6,1208,0,1,"c","centre"
"9",393,-195,-137.8,126,166,2,"5","target"
"9",394,-11,-25.2,1216,0,1,"c","centre"
"9",394,224.8,-42.4,64,114,2,"d1","distracter"
"9",394,192.6,-160,154,294,3,"1","target"
"9",395,-10.9,-33,1210,0,1,"c","centre"
"9",395,180,74,106,146,2,"2","target"
"9",396,-2.20000000000005,-28.4,1236,0,1,"c","centre"
"9",396,-229.4,-164.8,184,238,2,"5","target"
"9",397,-7.29999999999995,-32.9,1196,0,1,"c","centre"
"9",397,204.9,-142.6,192,238,2,"1","target"
"9",399,-7.89999999999998,-36.4,1268,0,1,"c","centre"
"9",399,-84,-198.9,160,194,2,"d5","distracter"
"9",399,-153.7,-264,418,632,3,"d5","distracter"
"9",399,197.7,91.3,206,888,4,"2","target"
"9",400,-5.20000000000005,-20.4,1242,0,1,"c","centre"
"9",401,-68.7,-22.2,134,0,1,"c","centre"
"9",401,-6.5,-3.10000000000002,818,836,2,"c","centre"
"9",401,65.4000000000001,133,102,974,3,"0","blank"
"9",401,114.9,185.1,366,1362,4,"d2","distracter"
"9",402,-5,-12.5,1202,0,1,"c","centre"
"9",403,-7.29999999999995,-20.2,1190,0,1,"c","centre"
"9",404,-4.29999999999995,-23.1,1192,0,1,"c","centre"
"9",404,-87.6,170.9,118,156,2,"d3","distracter"
"9",405,-0.399999999999977,-24.2,1200,0,1,"c","centre"
"9",406,-13.2,-23.8,1266,0,1,"c","centre"
"9",406,-73.1,99.3,70,98,2,"0","blank"
"9",406,188.5,86.5,136,284,3,"2","target"
"9",407,-14.4,-25.5,1198,0,1,"c","centre"
"9",407,-104.8,162.9,100,140,2,"d3","distracter"
"9",407,-221,99.9,178,346,3,"4","target"
"9",408,-8.10000000000002,-24.1,1206,0,1,"c","centre"
"9",408,-99.4,-271.2,82,136,2,"d5","distracter"
"9",409,-12,-27.9,1224,0,1,"c","centre"
"9",410,-3.5,-28.8,374,0,1,"c","centre"
"9",410,-19,-55.2,194,202,2,"c","centre"
"9",410,-10.7,-35.2,652,864,3,"c","centre"
"9",410,190.3,76.7,88,998,4,"2","target"
