"observer","trial","x","y","dur","n","aoi","aoi2"
"18",292,2.89999999999998,-3.60000000000002,1050,1,"c","centre"
"18",292,-98.8,180.1,164,2,"d3","distracter"
"18",292,-112.4,208.6,296,3,"d3","distracter"
"18",293,7.29999999999995,-0.299999999999955,1370,1,"c","centre"
"18",293,29.6,100.7,23,2,"0","blank"
"18",293,14.4,242.4,368,3,"3","target"
"18",293,2.79999999999995,82.5,26,4,"c","centre"
"18",294,3.89999999999998,-81.1,23,1,"c","centre"
"18",294,5.10000000000002,2.5,1234,2,"c","centre"
"18",294,6.60000000000002,10.7,36,3,"c","centre"
"18",294,231.6,128.1,624,4,"2","target"
"18",294,48.1,18.4,154,5,"c","centre"
"18",294,131.6,40.9,137,6,"0","blank"
"18",295,4.29999999999995,-20.6,566,1,"c","centre"
"18",295,0.899999999999977,9.29999999999995,230,2,"c","centre"
"18",295,9.20000000000005,-13.7,209,3,"c","centre"
"18",295,-167.5,-174.3,147,4,"d5","blank"
"18",296,5.10000000000002,-8.70000000000005,1015,1,"c","centre"
"18",297,3.60000000000002,-39.1,310,1,"c","centre"
"18",297,7.5,-26.1,715,2,"c","centre"
"18",297,180.4,97.3,195,3,"2","target"
"18",298,1.20000000000005,-5.20000000000005,1246,1,"c","centre"
"18",298,-103.6,210.6,478,2,"d3","distracter"
"18",298,155.8,-91.7,105,3,"1","target"
"18",299,11,-12.2,235,1,"c","centre"
"18",299,9.70000000000005,37.9,304,2,"c","centre"
"18",299,45.3,-34.4,29,3,"c","centre"
"18",299,42.5,-1.39999999999998,80,4,"c","centre"
"18",299,-126.1,-59.9,675,5,"0","blank"
"18",300,63.4,-57.5,440,1,"c","centre"
"18",300,50.4,-39.4,277,2,"c","centre"
"18",300,30.1,-0.5,236,3,"c","centre"
"18",300,-15.1,115,150,4,"0","blank"
"18",301,-19,-35.7,29,1,"c","centre"
"18",301,-7.70000000000005,-0.799999999999955,156,2,"c","centre"
"18",301,-6,-30.6,904,3,"c","centre"
"18",301,108.9,204.2,310,4,"d2","distracter"
"18",301,-12.4,-295.4,745,5,"6","target"
"18",301,-39.1,-119.5,22,6,"0","blank"
"18",302,-8.60000000000002,-23.8,510,1,"c","centre"
"18",302,-17.6,-16.4,566,2,"c","centre"
"18",302,230.1,-29.7,162,3,"d1","distracter"
"18",303,-18.2,-25.7,1247,1,"c","centre"
"18",304,-6.70000000000005,-21.8,1239,1,"c","centre"
"18",304,-205.7,-6.60000000000002,131,2,"d4","distracter"
"18",304,-260.6,-9.79999999999995,285,3,"d4","distracter"
"18",305,2,1.60000000000002,241,1,"c","centre"
"18",305,-103.9,-5.20000000000005,144,2,"0","blank"
"18",305,-14.3,-10,1000,3,"c","centre"
"18",305,-6.5,241.8,5864,4,"3","target"
"18",305,231.4,-2.5,232,5,"d1","distracter"
"18",305,240.6,-26.4,408,6,"d1","distracter"
"18",305,-7.20000000000005,222.8,86,7,"3","target"
"18",305,-0.899999999999977,244.3,912,8,"3","target"
"18",305,9.89999999999998,240.5,1918,9,"3","target"
"18",306,0.700000000000045,-5.60000000000002,67,1,"c","centre"
"18",306,-12.1,45.3,321,2,"c","centre"
"18",306,5.39999999999998,-3.89999999999998,894,3,"c","centre"
"18",307,-5.10000000000002,-14.8,1516,1,"c","centre"
"18",308,9.29999999999995,-4.39999999999998,1520,1,"c","centre"
"18",308,-188.4,88.2,128,2,"4","target"
"18",309,4.10000000000002,7.10000000000002,1083,1,"c","centre"
"18",309,-200.4,-27.8,187,2,"d4","distracter"
"18",309,-266.7,3.5,435,3,"d4","distracter"
"18",310,-5.29999999999995,-26.2,464,1,"c","centre"
"18",310,-20,-34.8,262,2,"c","centre"
"18",310,-29.5,54,344,3,"c","centre"
"18",311,-9,-8.60000000000002,365,1,"c","centre"
"18",311,1.29999999999995,-7.10000000000002,220,2,"c","centre"
"18",311,-6.39999999999998,155.5,399,3,"0","blank"
"18",311,-202.5,119,193,4,"4","target"
"18",313,0.200000000000045,-11.7,1251,1,"c","centre"
"18",313,-77.8,179.7,131,2,"d3","distracter"
"18",313,-111.5,213.1,164,3,"d3","distracter"
"18",314,-4.5,-4.79999999999995,1143,1,"c","centre"
"18",314,-113.5,205.1,402,2,"d3","distracter"
"18",314,-44.8,-273.2,149,3,"6","target"
"18",315,7.5,-1.10000000000002,1337,1,"c","centre"
"18",315,-202.9,-123.7,143,2,"5","target"
"18",316,7.70000000000005,-12.5,1434,1,"c","centre"
"18",317,9.5,4.39999999999998,1395,1,"c","centre"
"18",317,-0.200000000000045,225.9,152,2,"3","target"
"18",318,6,-8.5,1427,1,"c","centre"
"18",318,193.5,107.2,179,2,"2","target"
"18",319,-8,-13.1,1333,1,"c","centre"
"18",320,-5.10000000000002,-20.6,628,1,"c","centre"
"18",320,3.89999999999998,1.89999999999998,597,2,"c","centre"
"18",320,103.2,191.2,240,3,"d2","distracter"
"18",321,-0.100000000000023,-13.2,1609,1,"c","centre"
"18",321,-186.6,108.6,146,2,"4","target"
"18",322,8.60000000000002,-11.7,640,1,"c","centre"
