observer,trial,x,y,dur,n
1,145,952.7,277.1,489,3
1,146,949.9,552.4,1234,1
1,146,946.7,398.2,47,2
1,146,958.5,267.8,1763,3
1,147,948.9,554,1197,1
1,147,956.5,287.1,299,2
1,147,658.6,2018.5,178,3
1,148,946.7,554.9,1285,1
1,148,830,781,51,2
1,148,1116.2,666.2,123,3
1,148,1179.3,661.5,798,4
1,148,1015.2,685.2,41,5
1,148,1151.8,670.7,400,6
1,149,943.3,544.1,1216,1
1,149,1040.1,442.8,33,2
1,149,1054.6,363.1,43,3
1,149,957.2,830.2,135,4
1,149,940.5,783.5,501,5
1,150,951.6,555,1192,1
1,150,950.4,797.2,428,2
1,151,947.6,544.6,1184,1
1,151,953.3,301.6,307,2
1,151,705.8,1967.2,238,3
1,152,950.1,546.2,1200,1
1,152,953.5,780.3,474,2
1,152,718.6,1979.1,165,3
1,153,948.9,550.4,1188,1
1,153,761.8,454.7,69,2
1,153,746.9,429.9,143,3
1,154,946.9,555,695,1
1,154,947.7,548,503,2
1,154,955.9,272.6,346,3
1,155,946,552.6,1336,1
1,155,790.3,477.3,56,2
1,155,752.3,402.9,164,3
1,155,727.3,405,252,4
1,156,945.6,550.4,1354,1
1,156,953.3,290.6,156,2
1,156,946.3,268.1,402,3
1,156,638.8,1942.6,146,4
1,157,947.8,548.3,1215,1
1,157,1053.8,745.1,155,2
1,157,958.9,283.4,168,3
1,157,944.1,264.9,330,4
1,157,755.6,2037.1,152,5
1,158,947.1,541.7,1201,1
1,158,753.9,653.4,152,2
1,158,723.5,659.7,722,3
1,158,546.2,2049.1,143,4
1,158,537.8,2133,26,5
1,158,539.2,2122.4,97,6
1,158,590.6,2016.5,206,7
1,159,948.8,541.8,1185,1
1,159,1041.5,351.8,124,2
1,159,951.8,285.2,226,3
1,159,950.1,266.7,405,4
1,160,944.7,537.4,1190,1
1,160,826.1,341.8,101,2
1,160,740.2,415.2,378,3
1,160,595.3,2123,146,4
1,161,959.5,544.1,1194,1
1,161,1157.5,454.2,150,2
1,161,1171.8,438.3,298,3
1,161,639.6,2050.4,157,4
1,161,665.1,2006.3,368,5
1,161,1178.9,475,151,6
1,162,951.5,545,1197,1
1,162,1168,569.4,108,2
1,162,963.8,774.4,207,3
1,162,938.1,796.4,199,4
1,163,949.4,551.5,340,1
1,163,953.6,552.7,754,2
1,163,746.1,680.1,142,3
1,163,723.1,676.7,361,4
1,163,642.6,2140.5,62,5
1,164,950,544.4,1197,1
1,164,744.5,546.5,88,2
1,164,741.4,415,356,3
1,164,681.7,1993.8,235,4
1,165,951.6,545.1,1198,1
1,165,740.3,559.4,66,2
1,165,749.3,414.8,313,3
1,165,732.2,415.5,120,4
1,165,678.6,2134.7,198,5
1,165,665.1,2138.8,34,6
1,166,949.9,552.5,1192,1
1,166,1144.6,465,121,2
1,166,1159.4,422,250,3
1,166,699.2,1873.4,37,4
1,166,694.4,1934.6,104,5
1,167,954.3,541.2,1193,1
1,167,748.1,668,319,2
1,167,618.4,1972,116,3
1,168,955.4,543.7,1189,1
1,168,880.2,724.6,108,2
1,168,739.9,662.8,507,3
1,169,950.5,552.4,1303,1
1,169,970.7,548.1,103,2
1,169,761.6,409.3,146,3
1,169,730.8,409.8,158,4
1,169,671.2,2076.6,169,5
1,170,950.3,548.5,1279,1
1,170,834.3,766.4,194,2
1,170,816.2,761.7,188,3
1,170,938.9,319.3,106,4
1,170,949.9,277.2,233,5
1,171,948.1,551.6,1319,1
1,171,1168.6,667,476,2
1,171,716.9,2075.4,155,3
1,172,948.6,554,1213,1
1,172,1150.4,652.7,281,2
1,172,672.1,2108.4,152,3
1,173,944.5,546,1243,1
1,173,1050.7,683.8,45,2
1,173,945.1,268.5,521,3
1,173,640.8,2019.2,183,4
1,173,617.2,2114.1,214,5
1,173,635.4,2078.7,211,6
1,173,559.6,2076.1,234,7
1,174,951,543.5,1245,1
1,174,748.6,660.9,122,2
1,174,721.3,662.7,490,3
1,175,950.8,549,1284,1
1,175,832.2,779.9,165,2
1,175,830.2,749.3,37,3
1,175,1159.3,416.6,404,4
1,176,948.7,559.7,1319,1
1,176,749.6,673.6,178,2
1,176,726.9,685.1,117,3
1,177,949.3,553.7,1230,1
1,177,1066.3,767.2,174,2
1,177,1145.1,544.7,48,3
1,177,1149.3,446.7,272,4
1,177,735.5,2015,135,5
1,178,947,550,445,1
1,178,953.2,553,713,2
1,178,951.9,784.6,763,3
1,178,665.6,2050.2,445,4
1,178,659.8,2049.3,317,5
1,178,660.3,1799.9,138,6
1,178,968.9,819.1,95,7
1,178,943.5,784.2,252,8
1,179,946.5,555.5,83,1
1,179,943.9,554.9,952,2
1,179,782.1,418.9,190,3
1,179,738.5,434.5,119,4
1,180,951.7,550.2,1194,1
1,180,951.8,265,345,2
1,180,664.6,2045,174,3
1,181,952.5,550.9,1194,1
1,181,1038.7,375.9,101,2
1,181,971.9,292.3,204,3
1,181,949.3,274,327,4
1,182,953.1,546.6,1190,1
1,182,950.8,282.2,432,2
1,183,946.8,550.1,1215,1
1,183,1086.5,757.6,102,2
1,183,732.5,676.1,361,3
1,183,625.5,2015.3,195,4
1,184,958.5,552.7,1239,1
1,184,865,736,105,2
1,184,760,402.1,167,3
1,184,731.7,409.5,197,4
1,184,688.2,2064.8,399,5
1,184,679.9,2070.3,146,6
1,184,728.9,636,136,7
1,184,763,457.9,123,8
1,185,955.3,553,1197,1
1,185,743.4,673.1,270,2
1,186,952.8,552.5,1291,1
1,186,739.7,672.4,169,2
1,187,947.9,555.5,1201,1
1,187,761.2,655.5,152,2
1,187,731.8,665.1,143,3
1,187,628.7,2010.9,160,4
1,188,948.4,552.7,1224,1
1,188,960,326.7,68,2
1,188,958.2,280.6,239,3
1,188,666.6,1988,164,4
1,189,948.2,546.3,1194,1
1,189,1188.1,662,227,2
1,189,664.2,2092.5,148,3
1,190,947.8,544.8,1208,1
1,190,746,423.6,194,2
1,190,719.4,420.4,226,3
1,191,947,548.1,1298,1
1,191,746.4,647.6,224,2
1,191,725.9,671.1,140,3
1,192,940.8,548.6,1225,1
1,192,1154.7,585.6,90,2
1,192,1161.6,662.9,632,3
1,192,1184,648.7,354,4
1,192,654.1,2033.1,142,5
1,193,951.8,549.3,1323,1
1,193,948.2,782.9,1493,2
1,194,950.8,546.5,1230,1
1,194,839.2,326,120,2
1,194,1106.6,580.2,108,3
1,194,1171.8,666.9,633,4
1,194,1115.9,667.2,218,5
1,194,644.5,2122.3,175,6
1,194,667.6,2072,655,7
1,195,947.9,553.2,1220,1
1,195,1054.4,402,83,2
1,195,1143.8,440.7,145,3
1,195,1158.5,433.1,276,4
1,195,640.1,1978.7,164,5
1,196,939.8,545.7,1238,1
1,196,944.3,787.3,527,2
1,197,946.3,553.4,1268,1
1,197,1164.2,660.2,489,2
1,198,951.3,551.6,1327,1
1,198,1157.1,647,215,2
1,198,704.8,2122.4,182,3
1,199,946.5,547.1,482,1
1,199,945.8,549.7,549,2
1,199,1037.2,731.6,100,3
1,199,1149,653.4,201,4
