"observer","trial","x","y","dur","onset","offset","n","aoi2","aoi"
"3",122,-3.89999999999998,-10.9,972,208,6691905,2,"centre","c"
"3",122,224.9,116.9,192,1219,6692136,3,"target","2"
"3",122,233,141.9,412,1422,6692559,4,"target","2"
"3",123,-9.39999999999998,-7.10000000000002,1198,0,6697729,1,"centre","c"
"3",123,39.6,104.4,65,1232,6697828,2,"blank","0"
"3",123,-228.7,105.8,132,1329,6697992,3,"target","4"
"3",123,-244.2,138.5,493,1478,6698502,4,"target","4"
"3",124,-4.39999999999998,-8.5,1180,0,6704111,1,"centre","c"
"3",124,65.4000000000001,154.6,112,1218,6704261,2,"distracter","d2"
"3",124,210.7,-140.9,126,1388,6704445,3,"target","1"
"3",124,231.5,-129.8,432,1525,6704888,4,"target","1"
"3",125,-1.20000000000005,-5.79999999999995,1198,0,6712547,1,"centre","c"
"3",125,219.8,-21.1,114,1231,6712694,2,"distracter","d1"
"3",125,-22.1,-212.4,111,1383,6712843,3,"target","6"
"3",125,-0.200000000000045,-249.3,608,1516,6713473,4,"target","6"
"3",126,-7.60000000000002,-13.3,1206,0,6718057,1,"centre","c"
"3",126,149.3,68,103,1240,6718194,2,"target","2"
"3",126,219,122.6,377,1367,6718595,3,"target","2"
"3",127,-11.9,-11.4,1216,0,6724783,1,"centre","c"
"3",127,-4.89999999999998,-208.1,89,1264,6724920,2,"target","6"
"3",127,-15.9,-242.2,574,1367,6725508,3,"target","6"
"3",128,-9.29999999999995,-8.29999999999995,1242,0,6731414,1,"centre","c"
"3",128,22.7,50.8,44,1264,6731480,2,"centre","c"
"3",128,-232.5,-133.6,497,1353,6732022,3,"target","5"
"3",129,-2.60000000000002,-8.89999999999998,1203,0,6737589,1,"centre","c"
"3",129,190.1,109,109,1243,6737738,2,"target","2"
"3",129,225.4,136.2,318,1365,6738069,3,"target","2"
"3",130,-1.20000000000005,-10.1,1347,0,6743365,1,"centre","c"
"3",130,178,92.1,100,1384,6743502,2,"target","2"
"3",130,222,124.2,260,1499,6743777,3,"target","2"
"3",131,-2.60000000000002,-10.2,1323,0,6752143,1,"centre","c"
"3",131,196.5,102.8,117,1361,6752298,2,"target","2"
"3",131,229.3,138.1,328,1494,6752642,3,"target","2"
"3",132,-1.5,-9.79999999999995,1211,0,6757331,1,"centre","c"
"3",132,145.7,97.8,137,1242,6757499,2,"target","2"
"3",132,238.8,134.1,401,1404,6757925,3,"target","2"
"3",133,-6.5,-11.6,1186,0,6762706,1,"centre","c"
"3",133,-179.6,84.4,86,1230,6762836,2,"target","4"
"3",133,-225.9,124.1,337,1336,6763193,3,"target","4"
"3",134,-15.7,-1.39999999999998,409,0,6769064,1,"centre","c"
"3",134,-18.9,-5.70000000000005,612,559,6769826,2,"centre","c"
"3",134,-199.3,-8,105,1197,6769957,3,"distracter","d4"
"3",134,-257.9,-8.70000000000005,43,1328,6770026,4,"distracter","d4"
"3",134,-22.1,254.6,434,1410,6770499,5,"target","3"
"3",135,-13.8,-5.10000000000002,385,0,6777314,1,"centre","c"
"3",135,-3.10000000000002,-5.29999999999995,679,563,6778171,2,"centre","c"
"3",135,98.5,37.1,90,1264,6778283,3,"blank","0"
"3",135,210.8,126,327,1383,6778639,4,"target","2"
"3",136,-5.5,-17.9,73,0,6782874,1,"centre","c"
"3",136,-6.39999999999998,-2.70000000000005,970,228,6783999,2,"centre","c"
